"","Gene","log2( Max Expression Level )","Raw Gini Index","Normalized Gini Index","p-value"
"ENSG00000198718","ENSG00000198718",0.996273260151094,1.88318633501725,0.00494036616708571,0.431241734989016
"ENSG00000010030","ENSG00000010030",0.998779412381753,1.77636147062129,0.00494039669397528,0.431241980645776
"ENSG00000157800","ENSG00000157800",0.992895481508734,2.0172278040431,0.0049484646651371,0.431306906360059
"ENSG00000132912","ENSG00000132912",0.997424890534306,1.83718367169664,0.00495421763839388,0.431353203630769
"ENSG00000271046","ENSG00000271046",0.999824136741405,1.72160006103519,0.00496201332980528,0.431415941258176
"ENSG00000050820","ENSG00000050820",0.999992221693433,1.71125135672467,0.00496533076749572,0.431442639629213
"ENSG00000197191","ENSG00000197191",0.999829810914599,1.72160006103519,0.00496768750299947,0.431461606565773
"ENSG00000164603","ENSG00000164603",0.995452420319779,2.33093055871962,0.021826767651238,0.431499800761751
"ENSG00000138002","ENSG00000138002",0.998902044093684,1.77216201104438,0.00497653090280825,0.43153277939057
"ENSG00000179965","ENSG00000179965",0.994801934937645,2.34585237816237,0.021821412563382,0.431542899658099
"ENSG00000127870","ENSG00000127870",0.984342526264623,2.5184418843982,0.0218211292261863,0.431545180039364
"ENSG00000119714","ENSG00000119714",0.992686824143763,2.39442760804291,0.0218207793108167,0.431547996264545
"ENSG00000166126","ENSG00000166126",0.99540286438124,1.91873414951057,0.00497899317200445,0.43155259644706
"ENSG00000171121","ENSG00000171121",0.998855643867961,1.77456011503994,0.00497937867569875,0.431555699108177
"ENSG00000168477","ENSG00000168477",0.999900019024627,1.71814171987455,0.0049817191125614,0.431574535808052
"ENSG00000254469","ENSG00000254469",0.995918593372663,1.89887138822454,0.00498502609170159,0.431601151862235
"ENSG00000227468","ENSG00000227468",0.999724782195216,1.72896100467402,0.00498584704311777,0.431607759296263
"ENSG00000251600","ENSG00000251600",0.999906669252852,1.71814171987455,0.0049883693407865,0.431628060148895
"ENSG00000123989","ENSG00000123989",0.99535206513932,2.33273073529761,0.0218065839038653,0.431662248143698
"ENSG00000165028","ENSG00000165028",0.9988942668593,1.77336053473411,0.00499331775309408,0.431667888244323
"ENSG00000179195","ENSG00000179195",0.996132351859719,1.89100636437055,0.00499807182828915,0.431706152840393
"ENSG00000272279","ENSG00000272279",0.998623591472556,1.78661443318971,0.00500064929648025,0.431726898631916
"ENSG00000134256","ENSG00000134256",0.998304583422189,1.80183398434635,0.00501431648014894,0.431836907613045
"ENSG00000231680","ENSG00000231680",0.999230619364881,2.25480396051158,0.0217843567468273,0.431841155126655
